"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/v1/pms/api/inn/get?bid=03bdfe3ce2767ba6598a52bab3f6b361&innId=4104",5,88,88,88,92,92,92,92,92,92
"Total",5,88,88,88,92,92,92,92,92,92
