"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/v1/pms/api/room/getByInnId/3688?bid=997999bee85a8abdfac6f327c5af227f",4,110,110,110,110,110,110,110,110,110
"Total",4,110,110,110,110,110,110,110,110,110
