"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/v1/pms/api/inn/get?bid=edeb10959582205cbee87c82ba6ceaab&innId=4034",6,92,92,100,100,130,130,130,130,130
"Total",6,92,92,100,100,130,130,130,130,130
