"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/v1/pms/api/helpCenter/getAdList?bid=7b32a3272fa8fc8d2425316e8af6502f",6,78,78,95,95,320,320,320,320,320
"Total",6,78,78,95,95,320,320,320,320,320
