"Method","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s"
"GET","/api/v1/pms/api/room/getByInnId/3688?bid=997999bee85a8abdfac6f327c5af227f",4,0,100,103,100,106,438,4.00
"None","Total",4,0,100,103,100,106,438,4.00
